well,n,ps,ps_frac,eval_n,lateral_ft,azimuth,tvt_eval_std,tvt_eval_range,gr_miss_pct,gr_miss_eval_pct,gr_gap_med,gr_gap_max,tw_covers_eval,carry_rmse
577eec7c,6085,1546,0.25,4539,5668,-49.7,10.84,34.1,30.8,34.2,1,13,True,18.88
57f05c51,6478,1707,0.26,4771,5881,-44.2,18.13,63.8,5.9,5.8,1,4,True,36.32
58850d2c,6918,1923,0.28,4995,6375,92.3,4.92,21.1,2.0,2.2,1,2,True,14.89
58fa8486,6126,1651,0.27,4475,5597,133.2,9.23,28.4,26.6,28.3,1,20,True,11.87
591cc951,6669,2060,0.31,4609,6108,131.0,8.47,30.3,3.8,0.9,1,201,True,15.02
593876b6,6366,1524,0.24,4842,6052,-95.6,6.6,28.9,4.1,3.6,1,7,True,12.28
59f8b2e8,5668,1921,0.34,3747,5284,-17.2,5.83,22.7,32.4,33.7,1,13,True,6.24
5a1a8fd8,6814,1554,0.23,5260,6350,-69.2,7.56,33.0,49.1,53.0,1,14,True,13.17
5a5269a9,8053,1540,0.19,6513,7697,-68.5,5.82,22.6,44.9,46.3,1,10,True,5.86
5a5d1982,5446,1552,0.28,3894,4912,-47.8,6.73,23.3,28.6,28.4,1,213,True,7.11
5a63b5d1,8052,1835,0.23,6217,7551,76.3,8.94,31.6,53.3,54.6,2,16,True,19.45
5aa03df7,6752,1881,0.28,4871,6078,-58.6,6.39,40.8,28.1,33.2,1,7,True,6.59
5aa403d0,4702,1584,0.34,3118,4338,132.2,8.05,30.3,53.7,57.9,1,18,True,25.68
5aef5c6c,4853,1732,0.36,3121,4326,-54.4,9.53,42.3,61.8,65.1,2,18,True,10.93
5b7b6324,8197,1633,0.2,6564,7972,111.1,10.88,40.7,52.9,54.0,1,15,True,17.67
5bd25f59,6120,1910,0.31,4210,5508,137.3,3.12,12.7,2.7,2.2,1,13,True,4.34
5beded95,4779,1722,0.36,3057,4255,-48.5,6.68,25.7,54.4,62.3,1,14,True,16.64
5cb483ac,5206,1354,0.26,3852,4920,-92.3,5.83,20.2,10.9,11.9,1,6,True,6.11
5cdd8dbc,5751,1741,0.3,4010,5151,133.3,14.19,48.4,37.3,42.0,1,13,True,17.23
5d11dfb5,7643,1748,0.23,5895,7114,95.4,9.76,46.0,43.4,49.6,2,20,True,9.76
5d7198fd,4797,1429,0.3,3368,4717,129.7,12.43,34.5,4.2,4.1,1,3,True,13.37
5def1ce5,7997,1554,0.19,6443,7589,-48.2,7.69,27.4,2.8,2.7,1,2,True,8.05
5eae34a8,6652,1748,0.26,4904,6146,-49.5,7.29,25.8,45.6,46.4,1,35,True,7.4
5f4d2a52,7112,1887,0.27,5225,6652,110.2,31.85,93.9,18.3,21.5,1,9,True,56.91
5f6756c5,8064,2133,0.26,5931,7403,124.9,5.41,21.3,3.4,3.2,1,3,True,8.57
5f75f796,7324,1762,0.24,5562,6721,127.7,5.33,22.0,44.1,50.2,2,16,True,9.24
5fb1c15f,4857,1997,0.41,2860,4409,134.3,6.91,23.9,47.0,52.4,1,13,True,18.29
5fffa282,6223,2022,0.32,4201,5607,-70.0,2.58,10.5,9.1,8.0,1,5,True,5.32
60e37807,4641,1942,0.42,2699,4020,112.1,16.73,46.9,2.3,2.6,1,2,True,20.87
61f27424,8341,2121,0.25,6220,7619,90.6,2.8,10.9,8.2,7.7,1,48,True,2.82
62569ae3,5242,1654,0.32,3588,4897,-89.0,7.21,21.7,26.9,31.2,1,12,True,8.16
62a6f539,5253,1560,0.3,3693,4774,130.2,5.84,20.1,62.4,70.0,3,25,True,7.86
633774dc,7972,1739,0.22,6233,7469,131.7,9.34,42.8,33.5,36.4,1,12,True,14.21
63559d57,5810,1741,0.3,4069,5311,-51.9,3.72,19.9,57.2,65.9,2,16,True,5.89
647f2a41,5836,1955,0.33,3881,5240,-48.2,5.55,21.2,30.9,43.4,2,21,True,6.55
65156b96,5046,1825,0.36,3221,4498,-48.0,6.05,31.8,4.9,5.0,1,8,True,6.08
653612bc,5946,1341,0.23,4605,5730,-91.8,1.98,6.1,3.9,3.6,1,2,True,2.83
656a067b,4896,1845,0.38,3051,4380,104.5,13.95,39.6,19.2,20.4,1,8,True,14.67
65a5466a,6117,1434,0.23,4683,5797,-70.8,10.12,36.2,24.7,27.5,1,7,True,11.99
660d9546,6140,1408,0.23,4732,5877,-90.7,7.01,22.4,18.7,20.8,1,9,True,9.43
6767c111,8354,1571,0.19,6783,7852,137.1,8.13,40.2,48.6,48.2,2,19,True,17.48
67847288,9174,1745,0.19,7429,8678,118.1,5.89,24.6,46.5,46.6,1,172,True,11.46
67a8da4a,6645,1734,0.26,4911,6126,122.7,7.96,27.8,17.4,18.8,1,24,True,14.49
684a6fc1,11449,1631,0.14,9818,10927,-50.2,8.91,38.0,49.5,50.2,1,11,True,24.03
698930d1,6498,1757,0.27,4741,5927,103.4,8.96,30.2,11.8,14.9,1,9,True,10.39
699ea575,5474,1354,0.25,4120,5283,112.9,7.98,24.8,42.4,45.1,1,9,True,10.39
69c1bdad,4645,1931,0.42,2714,4232,130.8,9.79,33.3,37.0,40.9,1,11,True,9.79
69e41fa6,7167,1395,0.19,5772,6835,-84.7,4.0,16.7,40.4,44.4,2,19,True,5.86
6a0ff78e,7890,1425,0.18,6465,7586,-48.0,11.22,43.8,4.2,4.0,1,3,True,11.35
6a8fa194,4657,1640,0.35,3017,4265,156.8,4.46,15.8,6.1,5.6,1,3,True,8.35
6ae68655,5948,1744,0.29,4204,5450,134.7,5.21,15.8,18.9,19.9,1,9,True,5.26
6d1d74e1,7316,1486,0.2,5830,7055,-49.4,11.6,40.0,29.3,30.7,1,11,True,11.89
6d590e26,7842,1746,0.22,6096,7288,108.7,8.62,31.9,30.1,33.2,1,7,True,8.63
6d6d93af,5305,1710,0.32,3595,4940,-17.3,15.13,51.7,40.4,43.6,1,10,True,32.2
6dbe4b60,6673,2025,0.3,4648,6138,-92.9,6.67,21.9,46.9,50.0,1,17,True,8.7
6e6d122c,7083,1451,0.2,5632,6754,-48.7,8.12,29.8,25.8,28.7,1,9,True,9.12
6e9ccd38,9619,1337,0.14,8282,9512,131.5,11.27,44.7,3.9,3.9,1,4,True,12.24
6ea22614,7894,1923,0.24,5971,7229,-66.7,6.47,24.4,43.0,44.6,1,15,True,6.48
6ede926a,6621,1683,0.25,4938,6130,130.6,5.96,23.2,34.7,35.9,1,109,True,7.69
708caea9,8482,1934,0.23,6548,7841,136.7,11.43,50.6,19.8,21.7,1,12,True,34.92
70925e23,8072,2125,0.26,5947,7375,122.7,6.1,26.8,10.5,11.8,1,8,True,14.78
70e1788b,11338,2053,0.18,9285,10775,131.0,5.59,25.6,4.1,4.0,1,3,True,7.16
71642c7d,6657,2009,0.3,4648,5946,-75.4,7.51,24.9,22.4,26.9,1,11,True,11.9
71ccf778,4623,1925,0.42,2698,4060,147.1,3.45,12.5,4.5,4.6,1,8,True,5.39
7224331b,7566,1503,0.2,6063,7280,103.4,4.34,17.1,69.0,70.9,2,28,True,4.34
722cf0d8,7275,2132,0.29,5143,6670,135.0,11.09,33.3,3.9,3.8,1,7,True,11.13
7256229b,6972,1557,0.22,5415,6486,-69.9,6.14,24.9,64.6,66.4,2,18,True,6.65
726f3dc2,8619,1896,0.22,6723,8020,130.9,5.69,22.6,35.6,36.6,1,15,True,6.93
7271dd80,5765,1425,0.25,4340,5190,-49.6,2.44,12.8,4.4,4.2,1,3,True,8.31
727a3a10,6342,1945,0.31,4397,5732,133.7,4.35,18.5,27.4,33.0,1,8,True,12.36
729665c0,5775,1512,0.26,4263,5413,-50.7,7.65,25.8,41.9,55.5,3,36,True,8.66
729e9750,7427,1508,0.2,5919,7104,-47.4,7.34,27.4,56.1,57.2,2,19,True,8.83
729f4217,7592,1397,0.18,6195,7314,-47.9,5.57,20.9,50.0,53.0,1,15,True,16.25
72dd8501,6928,1735,0.25,5193,6433,110.1,5.56,18.0,48.6,54.7,2,18,True,6.07
73348914,5686,1465,0.26,4221,5523,-75.6,4.32,21.3,20.2,22.5,1,19,True,10.69
739a914f,7319,1814,0.25,5505,6629,-94.3,10.75,33.3,40.5,42.4,2,244,True,13.54
73b1447d,7522,1852,0.25,5670,6785,-49.2,12.95,52.2,34.6,38.4,1,15,True,13.4
74b6186b,5148,1743,0.34,3405,4640,130.9,2.22,11.1,61.4,64.1,2,21,True,9.01
75c20ec7,7205,1844,0.26,5361,6585,127.8,8.27,32.7,62.8,65.9,2,26,True,11.05
75cd5f11,6410,1464,0.23,4946,6013,-47.5,5.17,20.0,25.2,27.7,1,13,True,5.26
75d20a82,7002,1935,0.28,5067,6356,127.4,16.08,43.8,14.2,15.1,1,8,True,17.23
76201745,5858,1410,0.24,4448,5547,-68.8,7.78,29.3,47.1,49.3,1,26,True,7.88
764072a5,4594,1645,0.36,2949,4169,131.0,4.87,14.6,56.9,64.0,1,13,True,6.36
77b0d905,5923,1749,0.3,4174,5424,109.9,2.86,19.5,22.8,25.6,1,11,True,13.05
77e4821c,6540,1147,0.18,5393,6268,-40.1,10.2,40.2,58.7,63.3,2,15,True,19.22
7850c72e,7712,2215,0.29,5497,6995,-43.7,12.25,45.2,4.5,4.7,1,3,True,12.35
78a4a386,6246,1127,0.18,5119,6194,130.8,5.73,19.0,20.8,22.3,1,5,True,5.87
79507629,7320,2018,0.28,5302,6642,126.4,6.48,22.4,12.8,10.5,1,9,True,12.57
796dbd4c,8069,1821,0.23,6248,7450,-67.4,4.77,19.0,37.2,40.1,1,10,True,4.87
7987f2f2,5714,2009,0.35,3705,5029,-50.7,10.82,42.5,44.9,46.2,1,11,True,12.03
7993a768,7047,1560,0.22,5487,6552,89.7,4.67,19.1,17.2,19.9,1,13,True,8.94
7a5660b0,6936,1938,0.28,4998,6358,110.8,4.71,30.7,3.7,3.4,1,3,True,13.45
7acda2df,4552,1461,0.32,3091,4230,-52.4,12.0,37.2,11.9,11.4,1,7,True,13.84
7b2c7b3c,4231,1647,0.39,2584,3948,109.4,4.64,19.8,3.6,4.0,1,3,True,6.17
7b38844c,5197,1448,0.28,3749,4907,-93.3,7.39,29.8,11.9,15.0,1,13,True,7.39
7bb17b96,5295,1373,0.26,3922,4980,-71.2,8.84,31.1,42.0,44.7,1,12,True,17.01
7c607683,7001,1673,0.24,5328,6430,130.5,7.22,27.0,33.5,36.4,1,121,True,16.86
7cbbd047,6790,1669,0.25,5121,6276,-50.3,8.1,30.9,15.2,16.6,1,11,True,12.53
7cd4bb31,7959,1520,0.19,6439,7667,-48.1,5.52,26.9,31.1,33.9,1,13,True,5.91
7d50373e,6494,1372,0.21,5122,6212,-47.4,3.79,18.7,25.3,28.4,1,12,True,14.29
7d57c75d,6147,1742,0.28,4405,5673,-91.7,10.87,42.7,8.7,10.1,1,140,True,14.2
7e208414,5732,1506,0.26,4226,5433,-92.5,3.39,11.2,8.3,9.3,1,19,True,6.38
7e721392,8301,2127,0.26,6174,7631,75.7,14.25,53.0,53.7,56.7,2,14,True,40.33
7ff89f8f,9539,2202,0.23,7337,8792,131.4,11.49,41.0,20.3,21.1,1,14,True,14.16
8050c789,4940,1863,0.38,3077,4374,134.2,7.7,29.5,25.1,24.9,1,209,True,7.79
807f0298,5499,1752,0.32,3747,5164,126.6,8.83,37.1,38.3,44.1,1,16,True,8.85
811f52b3,6674,1838,0.28,4836,6105,130.5,3.82,15.9,6.2,6.8,1,7,True,4.6
81bf5923,6386,1843,0.29,4543,5805,130.1,16.59,53.6,7.6,8.3,1,73,True,31.32
81fc01c6,7655,1746,0.23,5909,7079,131.6,11.26,42.8,16.4,17.7,1,22,True,15.01
8255c867,5338,1749,0.33,3589,4820,129.6,10.01,42.0,21.8,23.0,1,18,True,25.38
82aab6d2,7889,1749,0.22,6140,7385,94.3,5.17,28.3,35.5,41.9,1,22,True,16.36
82fcf37c,7397,1383,0.19,6014,7173,132.0,4.47,16.9,52.2,54.8,2,17,True,6.56
833af382,5377,1749,0.33,3628,4852,130.2,9.0,29.0,26.9,29.0,1,69,True,11.93
8382f4b6,6680,1713,0.26,4967,6426,88.5,16.17,58.3,60.2,65.6,2,17,True,35.96
84633df4,6719,1747,0.26,4972,6125,109.2,4.7,14.6,52.6,56.8,1,23,True,4.74
8478df29,6698,1841,0.27,4857,6121,109.3,3.11,17.8,61.1,66.6,2,21,True,14.04
84815d5a,5286,1639,0.31,3647,4805,111.5,8.16,34.4,24.4,27.9,1,11,True,18.8
84c3b497,6887,1575,0.23,5312,6655,75.5,17.06,63.4,17.4,17.9,1,11,True,18.96
85380836,8175,1557,0.19,6618,7733,130.7,6.95,27.1,41.6,41.2,1,200,True,14.17
8612b37f,6807,1642,0.24,5165,6406,110.4,14.24,45.2,56.6,58.2,1,33,True,19.62
861e71df,6284,1584,0.25,4700,5763,-95.7,6.87,20.0,13.2,15.2,1,8,True,11.54
86454a6f,9100,1136,0.12,7964,9038,-67.1,24.57,96.7,80.1,81.2,6,27,True,70.26
8648abae,6086,1842,0.3,4244,5480,-57.7,5.2,20.9,4.7,5.0,1,20,True,6.86
865033f8,5303,1746,0.33,3557,4781,130.9,5.94,19.4,57.3,65.9,2,22,True,5.94
87695469,8654,1651,0.19,7003,8129,130.1,6.33,26.0,42.8,44.1,1,10,True,7.05
877ed19c,5631,1923,0.34,3708,5040,-86.9,3.22,12.5,27.7,30.4,1,13,True,3.96
87aa3730,7293,1686,0.23,5607,6898,-48.1,6.81,24.2,21.6,23.3,1,14,True,9.12
884ecb5f,8054,1330,0.17,6724,7626,-48.2,10.24,45.5,4.1,3.9,1,6,True,19.93
8902c3f6,6533,1574,0.24,4959,6208,-49.2,5.93,21.3,46.1,48.3,2,21,True,8.83
896d15b9,5698,1419,0.25,4279,5496,-139.0,17.21,48.5,60.6,66.2,2,20,True,29.78
8995c945,8198,1474,0.18,6724,7715,135.7,7.68,29.9,11.1,12.1,1,7,True,17.05
89969c7a,6317,1370,0.22,4947,5750,107.6,7.89,25.2,35.9,38.2,1,11,True,8.24
89f1085d,7497,1503,0.2,5994,7323,127.3,8.5,43.6,31.8,33.1,1,10,True,27.63
89f36adf,7041,1749,0.25,5292,6524,-91.8,4.45,18.7,55.6,60.9,1,66,True,4.48
89fdb2f2,3570,1539,0.43,2031,3264,-92.9,1.6,6.4,44.2,53.5,1,16,True,1.69
8a3da6d1,6334,1741,0.27,4593,5753,90.6,6.28,25.8,40.6,46.0,1,32,True,9.41
8a89da23,5575,1640,0.29,3935,5196,-47.6,7.59,37.3,15.0,14.9,1,9,True,24.25
8a9c8932,6344,1681,0.26,4663,6085,131.5,2.2,9.6,4.4,4.5,1,2,True,2.4
8ac2f237,6775,1456,0.21,5319,6436,89.5,12.35,45.3,4.5,4.2,1,3,True,16.45
8b12bab6,6980,1746,0.25,5234,6395,110.8,10.84,31.7,55.1,58.3,1,18,True,15.81
8b5be31b,7439,1767,0.24,5672,6839,130.9,10.07,32.0,56.9,59.9,2,23,True,14.43
8b95d6d1,2783,1052,0.38,1731,2501,-48.0,4.6,16.6,40.2,53.7,1,24,True,12.82
8b9d8326,7832,1669,0.21,6163,7406,-53.3,6.54,22.3,60.7,65.6,3,42,True,6.58
8bb9c1e6,6382,1836,0.29,4546,5878,130.4,3.2,14.3,11.8,12.1,1,10,True,5.88
8bda1a11,7438,1457,0.2,5981,7121,-47.1,12.65,46.4,52.7,54.7,1,16,True,12.86
8bfa881d,5843,1754,0.3,4089,5355,110.1,16.05,56.8,42.2,45.9,1,21,True,24.91
8c167025,7113,1745,0.25,5368,6606,-48.9,7.5,30.3,13.3,13.3,1,75,True,12.84
8c8348e8,5581,1693,0.3,3888,5185,-83.8,5.67,19.1,26.4,30.7,1,10,True,6.54
8cc21f01,5806,1762,0.3,4044,5098,-59.8,4.73,18.8,32.1,34.6,1,12,True,5.69
8cc800b3,8091,1515,0.19,6576,7719,-65.0,4.25,20.4,4.2,3.9,1,8,True,13.89
8d5d46d7,7282,1527,0.21,5755,6859,131.3,6.26,26.7,24.2,28.2,1,14,True,14.45
8d92cb49,4839,1250,0.26,3589,4612,115.5,5.67,23.5,19.6,22.5,1,8,True,7.26
8f201368,8151,1802,0.22,6349,7633,130.4,9.69,45.4,48.6,49.5,1,263,True,31.18
90386ee4,5304,1464,0.28,3840,4972,-50.5,5.86,22.4,44.6,50.3,1,13,True,10.15
91abc4c7,7787,1939,0.25,5848,7275,131.1,6.77,22.3,56.8,61.1,1,15,True,7.03
91b301ce,8512,1942,0.23,6570,7937,131.0,33.27,121.8,14.0,14.7,1,7,True,35.32
91db7070,5646,1573,0.28,4073,5255,-67.1,21.83,62.4,29.5,33.4,1,14,True,40.81
925a7cd1,6501,1984,0.31,4517,5964,126.4,2.21,9.7,16.0,17.5,1,4,True,4.61
9283ae69,5118,1747,0.34,3371,4592,137.8,5.57,15.1,35.1,38.1,1,30,True,6.17
9298ad5b,5807,1843,0.32,3964,5342,126.8,10.52,42.6,45.3,50.3,1,51,True,13.09
9314ff13,4494,1746,0.39,2748,3996,142.6,4.18,14.7,4.0,4.1,1,4,True,5.19
93209a3d,6300,1603,0.25,4697,5942,113.8,5.66,18.4,53.5,56.5,2,23,True,13.66
939d9c34,6627,1526,0.23,5101,5954,112.1,15.0,67.5,42.5,43.5,1,12,True,15.73
93f5d2e6,5171,1480,0.29,3691,4856,-49.4,15.3,48.2,29.5,33.5,1,14,True,20.11
940a48d9,5627,1664,0.3,3963,5040,-86.8,7.47,24.5,18.6,16.8,1,10,True,10.06
940e709a,4989,1641,0.33,3348,4589,140.2,4.06,12.5,34.3,38.4,1,18,True,4.65
9426ec1e,3923,1391,0.35,2532,3667,-85.9,5.53,17.8,13.6,15.2,1,9,True,12.08
94467f50,5116,2081,0.41,3035,4427,132.4,7.77,42.2,25.4,22.0,1,9,True,7.8
944f36b9,6035,1405,0.23,4630,5745,-70.2,3.13,12.0,15.8,15.8,1,11,True,6.51
94d813a4,6591,1744,0.26,4847,6073,122.6,21.99,61.4,26.6,28.6,1,18,True,36.73
95b559e7,4638,1751,0.38,2887,4140,-90.0,6.87,28.1,23.0,30.2,1,13,True,20.38
95c8427f,8051,1716,0.21,6335,7520,129.9,9.08,39.9,18.5,20.0,1,9,True,27.22
96936c22,4997,1651,0.33,3346,4498,134.9,4.07,14.6,17.4,20.2,1,8,True,4.08
96ae5806,11527,1688,0.15,9839,10953,-68.7,5.9,25.9,55.2,55.2,1,44,True,8.45
96b7eea1,6078,1746,0.29,4332,5555,124.2,2.73,15.6,37.6,38.6,1,13,True,12.41
9719aa04,6665,1794,0.27,4871,6076,103.8,6.15,23.6,4.1,4.3,1,9,True,7.08
974802e7,7537,1694,0.22,5843,7178,131.3,13.72,53.7,56.4,56.8,1,14,True,13.81
97cd5bf9,5099,1650,0.32,3449,4618,130.4,8.98,25.8,60.6,63.3,2,21,True,9.27
98177ced,6789,2017,0.3,4772,6173,-43.9,5.76,21.9,4.1,4.5,1,2,True,5.78
9896fc0b,5109,1514,0.3,3595,4757,-49.3,13.49,52.7,37.9,39.7,1,9,True,15.81
98bc6f66,7720,1657,0.21,6063,7250,131.1,6.3,26.4,42.3,42.7,1,10,True,17.65
992c99e8,6740,1836,0.27,4904,6199,88.5,9.58,30.4,35.0,37.9,1,13,True,13.78
992ce078,4661,1782,0.38,2879,4118,152.1,3.58,11.2,4.1,3.9,1,4,True,5.02
99529c45,7591,1751,0.23,5840,7081,131.2,6.88,30.3,53.7,56.7,1,15,True,21.68
995ff498,6127,1601,0.26,4526,5782,130.7,8.24,27.3,52.3,56.3,1,17,True,8.34
999daf80,5439,1875,0.34,3564,4920,129.2,3.72,12.3,8.3,8.1,1,3,True,5.12
9a6b0392,5802,1547,0.27,4255,5436,-70.5,5.98,19.4,48.3,50.3,1,31,True,6.97
9a8ae0d6,7835,1541,0.2,6294,7415,116.7,5.45,26.8,49.7,51.1,1,20,True,5.94
9a95e33f,8156,1709,0.21,6447,7544,75.7,11.67,52.8,13.4,15.3,1,54,True,32.29
9ab94eeb,6372,1930,0.3,4442,5797,132.0,6.77,24.9,50.5,53.5,2,19,True,8.21
9ad5410a,5749,1544,0.27,4205,5525,111.4,6.32,19.4,8.1,8.0,1,3,True,8.78
9ae248be,6655,1384,0.21,5271,6490,117.9,6.16,26.0,29.8,32.0,1,23,True,8.11
9af1ffd0,5454,1929,0.35,3525,4915,129.7,13.13,32.8,6.2,5.4,1,5,True,18.13
9b5b61c1,7215,1683,0.23,5532,6618,-48.2,5.15,18.9,11.1,9.4,1,29,True,5.43
9b9e3b49,6875,1757,0.26,5118,6301,87.3,7.88,28.0,52.7,57.8,1,21,True,7.92
9bd2bba3,9092,1653,0.18,7439,8618,114.8,4.91,22.4,3.8,3.8,1,3,True,15.67
9c211c53,8842,1577,0.18,7265,8432,131.3,5.54,25.0,47.8,48.0,1,14,True,6.47
9c350a6a,7794,1742,0.22,6052,7268,-68.3,11.25,43.1,43.1,44.9,1,45,True,17.4
9c8375f7,5432,1758,0.32,3674,4897,129.9,5.87,19.7,25.6,27.7,1,11,True,5.92
9d072e4c,6798,1691,0.25,5107,6532,-72.6,8.02,27.0,14.0,14.6,1,6,True,9.99
9d3ec64c,4937,1457,0.3,3480,4513,-49.1,5.41,21.5,18.4,20.5,1,7,True,9.19
9d4272e3,5771,1741,0.3,4030,5311,125.8,6.61,26.9,51.8,53.7,1,16,True,17.77
9d5e14d4,6565,1165,0.18,5400,6125,135.6,12.41,40.8,52.7,56.2,1,20,True,28.54
9da441ba,7283,1500,0.21,5783,7053,-72.6,6.77,32.6,21.2,20.6,1,23,True,15.62
9dede370,8057,1760,0.22,6297,7482,93.4,8.65,37.9,37.1,40.7,1,14,True,18.68
9def2eb2,7750,1747,0.23,6003,7241,-67.7,6.7,25.8,11.9,12.4,1,27,True,7.25
9df1b1f9,6444,1743,0.27,4701,5922,117.4,4.3,23.4,65.2,68.6,2,18,True,12.59
9dfff011,6067,1748,0.29,4319,5483,107.1,4.75,15.9,34.9,37.3,1,12,True,4.85
9e3e364d,5809,1519,0.26,4290,5510,-88.0,3.52,21.1,51.7,51.9,1,19,True,4.1
9efc812e,6100,1650,0.27,4450,5843,-47.0,6.25,27.1,2.1,2.3,1,4,True,7.75
9f0c7bae,4040,1498,0.37,2542,3874,-89.1,3.8,12.6,27.7,32.0,1,18,True,7.9
9ffce529,6675,1463,0.22,5212,6450,124.9,9.41,31.4,36.2,41.1,1,13,True,11.08
a0383629,7687,1855,0.24,5832,7232,-49.7,4.84,17.2,52.4,54.7,1,14,True,8.42
a056d01e,8292,1735,0.21,6557,7780,-53.0,8.58,42.9,24.5,27.0,1,10,True,8.58
a08d9e63,5199,1514,0.29,3685,4836,-49.1,10.8,36.0,22.3,25.6,1,11,True,21.46
a0b83014,6873,1838,0.27,5035,6266,-91.4,6.69,26.2,53.3,55.1,1,21,True,17.52
a0e92ed6,6446,1549,0.24,4897,6271,90.8,8.05,32.8,45.0,50.0,1,15,True,8.11
a15bc102,5124,1888,0.37,3236,4560,130.7,2.05,7.4,53.5,56.3,2,26,True,2.58
a247e7cf,7237,1563,0.22,5674,6861,-47.3,3.87,15.0,55.8,56.7,1,15,True,4.2
a2e8e7f6,5812,1052,0.18,4760,5528,-49.4,10.48,35.7,42.7,48.1,1,24,True,10.7
a3518960,6992,2025,0.29,4967,6329,89.5,5.22,23.3,3.6,3.8,1,3,True,7.1
a3f71395,7040,1497,0.21,5543,6790,118.4,11.36,38.3,9.1,7.9,1,12,True,15.09
a4719920,7495,1611,0.21,5884,7157,-67.9,6.6,25.2,63.1,64.4,2,25,True,7.21
a48640d9,6586,2054,0.31,4532,6137,-52.1,5.66,27.4,12.6,13.9,1,6,True,21.63
a4cdbb0f,6759,1555,0.23,5204,6514,135.8,11.12,41.4,4.1,3.8,1,4,True,11.15
a4f989c2,7024,1639,0.23,5385,6668,-47.7,5.31,21.7,4.7,4.8,1,30,True,10.58
a5aa7973,6449,1833,0.28,4616,5859,103.6,11.33,35.4,35.4,40.2,1,13,True,14.16
a5e6f7dc,7331,1682,0.23,5649,6841,-67.8,4.9,20.0,51.2,51.9,1,13,True,6.35
a612d5a0,7160,1831,0.26,5329,6634,-48.4,6.28,27.3,4.6,4.7,1,8,True,19.26
a622ce4d,8047,1749,0.22,6298,7631,-69.0,7.28,29.5,43.4,44.9,1,14,True,14.24
a645da9a,6766,1613,0.24,5153,6258,-49.7,8.77,26.5,17.6,19.6,1,8,True,8.95
a692b17e,5409,1843,0.34,3566,4870,130.3,9.83,34.4,59.7,59.8,2,14,True,13.14
a6b8ac67,7017,1564,0.22,5453,6519,118.5,8.71,30.4,7.2,7.4,1,10,True,10.88
a6ed2eff,7054,1779,0.25,5275,6510,88.4,7.57,34.3,52.2,56.2,1,21,True,8.63
a6f967fb,7032,2362,0.34,4670,6297,-44.0,5.64,21.9,4.0,4.2,1,3,True,13.76
a76db406,6451,1779,0.28,4672,5921,-49.1,2.75,15.6,1.2,1.2,1,1,True,3.7
a7744f5b,6017,1640,0.27,4377,5543,-48.0,9.02,29.6,15.8,16.9,1,6,True,13.08
a783cc24,3275,1386,0.42,1889,3035,-54.4,14.5,55.8,10.4,11.6,1,5,True,26.73
a79fd2e7,6327,1923,0.3,4404,5714,89.6,9.05,27.6,45.3,52.5,1,35,True,12.37
a7fc3e6b,6378,1614,0.25,4764,5933,-49.0,10.24,33.0,60.7,63.4,2,19,True,18.15
a85bb86f,5100,2001,0.39,3099,4475,132.2,4.74,19.1,15.0,14.7,1,5,True,7.87
a85e4bc3,5993,1412,0.24,4581,5592,-49.9,8.25,31.1,48.8,49.8,2,9,True,9.64
a87433c9,7460,1739,0.23,5721,6853,-69.7,5.4,20.8,54.2,58.1,1,18,True,9.58
a8ed028a,7310,1772,0.24,5538,6781,136.5,7.48,36.9,4.6,4.7,1,3,True,19.04
a959858c,5770,1366,0.24,4404,4978,-48.0,14.78,90.5,56.3,61.4,2,22,True,65.36
a9c9b150,5826,1840,0.32,3986,5295,125.5,1.16,5.7,50.2,54.7,1,15,True,1.16
aa95015b,5761,1461,0.25,4300,5318,-82.8,6.92,25.6,33.3,34.4,1,7,True,11.73
aaaf3c03,4728,1731,0.37,2997,4228,165.3,14.95,48.2,6.0,5.5,1,3,True,15.08
aaeffccb,4586,1874,0.41,2712,3947,-50.7,4.36,14.6,54.3,60.8,2,206,True,4.76
ab112491,7178,1993,0.28,5185,6534,111.2,14.15,43.6,4.6,4.2,1,5,True,28.2
ab18d3fc,7337,1643,0.22,5694,6829,-49.2,10.98,37.1,29.5,31.4,1,11,True,16.6
ab3ced07,6008,1758,0.29,4250,5401,110.2,7.55,26.5,43.6,49.1,1,30,True,9.8
ab6fe95d,7424,1933,0.26,5491,6864,129.2,5.47,24.6,23.6,25.0,1,162,True,6.68
ab94878e,7652,1648,0.22,6004,7133,130.3,4.74,21.8,4.4,4.1,1,6,True,6.09
abf460d2,4763,1546,0.32,3217,4424,133.6,5.9,26.0,51.2,58.3,1,21,True,8.35
ac6f01d5,6729,1725,0.26,5004,6145,-67.6,10.0,32.7,2.4,2.7,1,3,True,15.96
ad2133a8,7187,1458,0.2,5729,6905,125.8,13.94,48.6,27.7,28.7,1,9,True,28.09
add9c322,5519,1587,0.29,3932,5177,93.4,4.59,22.7,55.0,58.5,1,19,True,12.3
ae069086,6741,1971,0.29,4770,6130,131.5,12.0,38.2,0.7,0.7,1,2,True,14.59
ae0784a8,9171,1348,0.15,7823,8988,-68.7,6.23,24.9,53.5,57.5,1,42,True,10.88
ae35f33a,6469,2019,0.31,4450,5796,-75.5,4.23,20.4,30.2,25.4,1,17,True,5.1
ae8959c3,6645,2127,0.32,4518,5993,137.7,7.93,34.2,7.7,6.9,1,11,True,19.77
aed44918,4020,1301,0.32,2719,3904,127.0,4.7,16.3,65.7,70.1,2,16,True,9.49
